Pertanyaan,Jawaban
Apa yang dimaksud dengan penyakit mental?,penyakit mental adalah kondisi kesehatan yang mengganggu pikiran emosi hubungan dan fungsi seseorang mereka dikaitkan dengan kesusahan dan berkurangnya kapasitas untuk terlibat dalam kegiatan kehidupan sehari hari yang biasa penyakit mental jatuh di sepanjang rangkaian keparahan beberapa cukup ringan dan hanya mengganggu beberapa aspek kehidupan seperti fobia tertentu di ujung lain spektrum terletak penyakit mental yang serius yang mengakibatkan gangguan fungsional utama dan gangguan dengan kehidupan sehari hari ini termasuk gangguan seperti depresi berat skizofrenia dan gangguan bipolar dan mungkin mengharuskan orang tersebut menerima perawatan di rumah sakit penting untuk mengetahui bahwa penyakit mental adalah kondisi medis yang tidak ada hubungannya dengan karakter kecerdasan atau kemauan seseorang sama seperti diabetes adalah kelainan pankreas penyakit mental adalah kondisi medis karena biologi otak demikian pula dengan bagaimana seseorang akan mengobati diabetes dengan obat obatan dan insulin penyakit mental dapat diobati dengan kombinasi obat dan dukungan sosial perawatan ini sangat efektif dengan     persen orang yang menerima pengobatan mengalami pengurangan gejala dan peningkatan kualitas hidup dengan perawatan yang tepat sangat mungkin bagi orang dengan penyakit mental untuk mandiri dan sukses 
Siapa yang terpengaruh oleh penyakit mental?,diperkirakan bahwa penyakit mental mempengaruhi   dari   orang dewasa di amerika dan bahwa   dari   orang dewasa memiliki penyakit mental yang serius penyakit mental tidak membeda bedakan ini dapat mempengaruhi siapa pun terlepas dari jenis kelamin usia pendapatan status sosial etnis agama orientasi seksual atau latar belakang meskipun penyakit mental dapat mempengaruhi siapa pun kondisi tertentu mungkin lebih umum pada populasi yang berbeda misalnya gangguan makan cenderung terjadi lebih sering pada wanita sementara gangguan seperti defisit perhatian gangguan hiperaktif lebih lazim pada anak anak selain itu segala usia rentan tetapi yang muda dan yang tua sangat rentan penyakit mental biasanya mengejutkan individu dalam hidup mereka dengan   persen kondisi kesehatan mental berkembang pada usia   tahun hal ini membuat identifikasi dan pengobatan gangguan mental sangat sulit karena kepribadian normal dan perubahan perilaku remaja dapat menutupi gejala gejala gejala dari kondisi kesehatan mental orang tua dan pengasuh harus menyadari fakta ini dan memperhatikan perubahan dalam suasana hati kepribadian kebiasaan pribadi dan penarikan sosial anak mereka ketika ini terjadi pada anak anak di bawah   tahun mereka disebut sebagai gangguan emosional yang serius sed 
Apa penyebab penyakit mental?,diperkirakan bahwa penyakit mental mempengaruhi   dari   orang dewasa di amerika dan bahwa   dari   orang dewasa memiliki penyakit mental yang serius penyakit mental tidak membeda bedakan ini dapat mempengaruhi siapa pun terlepas dari jenis kelamin usia pendapatan status sosial etnis agama orientasi seksual atau latar belakang meskipun penyakit mental dapat mempengaruhi siapa pun kondisi tertentu mungkin lebih umum pada populasi yang berbeda misalnya gangguan makan cenderung terjadi lebih sering pada wanita sementara gangguan seperti defisit perhatian gangguan hiperaktif lebih lazim pada anak anak selain itu segala usia rentan tetapi yang muda dan yang tua sangat rentan penyakit mental biasanya mengejutkan individu dalam hidup mereka dengan   persen kondisi kesehatan mental berkembang pada usia   tahun hal ini membuat identifikasi dan pengobatan gangguan mental sangat sulit karena kepribadian normal dan perubahan perilaku remaja dapat menutupi gejala gejala gejala dari kondisi kesehatan mental orang tua dan pengasuh harus menyadari fakta ini dan memperhatikan perubahan suasana hati kepribadian kebiasaan pribadi dan penarikan sosial anak mereka ketika ini terjadi pada anak anak di bawah   tahun mereka disebut sebagai gangguan emosional yang serius sed 
Apa sajakah tanda-tanda peringatan penyakit mental?,gejala gangguan kesehatan mental bervariasi tergantung pada jenis dan tingkat keparahan kondisi tersebut berikut ini adalah daftar gejala umum yang mungkin menunjukkan gangguan kesehatan mental terutama ketika gejala berganda diekspresikan sekaligus pada orang dewasa bingung berpikir kesedihan atau mudah marah yang tahan lama tinggi dan rendah dalam suasana hati ketakutan yang berlebihan mengkhawatirkan atau kecemasan penarikan sosial perubahan dramatis dalam kebiasaan makan atau tidur perasaan marah yang kuat delusi atau halusinasi melihat atau mendengar hal hal yang tidak benar benar ada meningkatkan ketidakmampuan untuk mengatasi masalah dan kegiatan sehari hari pikiran bunuh diri penolakan masalah yang jelas banyak masalah fisik yang tidak dapat dijelaskan penyalahgunaan narkoba dan atau alkohol pada anak yang lebih besar dan pra remaja penyalahgunaan narkoba dan atau alkohol ketidakmampuan untuk mengatasi masalah dan aktivitas sehari hari perubahan kebiasaan tidur dan atau makan keluhan masalah fisik yang berlebihan menentang otoritas melewatkan sekolah mencuri atau merusak properti ketakutan yang intens untuk menambah berat badan suasana hati negatif yang tahan lama seringkali bersama dengan nafsu makan yang buruk dan pikiran mati ledakan kemarahan yang sering pada anak kecil perubahan kinerja sekolah nilai yang buruk meskipun ada upaya kuat kekhawatiran atau kecemasan yang berlebihan hiperaktif mimpi buruk yang gigih ketidaktaatan yang terus menerus dan atau perilaku agresif tantrum temperamen yang sering terjadi
Apakah penderita penyakit jiwa bisa sembuh?,ketika penyembuhan dari penyakit mental identifikasi dan pengobatan dini sangat penting berdasarkan sifat penyakit ada berbagai perawatan efektif yang tersedia untuk semua jenis perawatan penting bahwa orang yang terkena dampak proaktif dan sepenuhnya terlibat dalam proses pemulihan mereka sendiri banyak orang dengan penyakit mental yang didiagnosis dan dirawat merespons dengan baik meskipun beberapa mungkin mengalami kembalinya gejala bahkan dalam kasus seperti itu dengan pemantauan dan pengelolaan gangguan yang cermat masih sangat mungkin untuk menjalani kehidupan yang terpenuhi dan produktif 
Bagaimana saya tahu jika saya minum terlalu banyak bir?,menyortir jika anda minum terlalu banyak bisa rumit anda unik dan hubungan anda dengan alkohol adalah unik tidak ada yang memiliki kombinasi pengalaman hidup yang sama dan pengaruh yang anda lakukan jadi meskipun anda dan teman anda dapat memilih untuk minum bagaimana dan mengapa anda menggunakan alkohol mungkin berbeda kita yang minum mencari manfaat dari alkohol bukan kesulitan tetapi kadang kadang kita mulai menggunakan lebih banyak dan lebih sering daripada masuk akal sebagai aturan umum minum alkohol menjadi masalah ketika secara negatif mempengaruhi kehidupan kita atau kehidupan orang lain banyak orang membayangkan ini mengacu pada orang yang mengonsumsi alkohol sepanjang hari setiap hari tetapi bahkan terlalu banyak minum pada satu kesempatan dapat menyebabkan masalah misalnya membuat keputusan yang buruk seperti mengemudi saat mengalami gangguan yang juga penting untuk dikenali adalah potensi konsekuensi negatif yang terkait dengan minum dalam berbagai konteks mis tempat waktu dan kegiatan dan seiring waktu mis mengatasi masalah kronis anda bisa mendapatkan umpan balik yang dipersonalisasi terkait dengan pola minum anda dibandingkan dengan pedoman minum alkohol berisiko rendah kanada melalui aplikasi skrining pemeriksaan realitas alkohol layar pendek dan sederhana ini dapat digunakan oleh orang orang dari segala usia semua penggunaan alkohol melibatkan beberapa risiko alasan orang menggunakan alkohol dapat memengaruhi risiko terkena masalah misalnya jika seseorang menggunakan alkohol untuk meningkatkan perayaan khusus hanya penggunaan sosial sesekali yang bisa mengikuti tetapi ketika seseorang minum untuk mengatasi masalah jangka panjang seperti kecemasan sosial maka penggunaan yang lebih lama dan intens dapat terjadi dengan merenungkan pola minum anda anda dapat mengelola risiko cedera atau kematian langsung peluang anda untuk konsekuensi kesehatan jangka panjang seperti kanker atau penyakit jantung dan risiko anda mengembangkan pola kebiasaan minum yang dapat menyebabkan kerugian ini setiap kali anda memutuskan untuk minum alkohol akan sangat membantu untuk mengetahui langkah apa yang dapat anda ambil untuk memastikan bahwa perilaku minum anda adalah yang paling bermanfaat dan paling tidak berbahaya berikut ini adalah beberapa pedoman yang berguna untuk dipertimbangkan tidak terlalu banyak mengelola seberapa banyak anda minum pada kesempatan tertentu membantu mengurangi perilaku berisiko tip minum perlahan dan bergantian antara minuman non alkohol dan alkohol tidak terlalu sering minum secukupnya membantu mengurangi bahaya bagi diri kita sendiri dan orang lain dari waktu ke waktu kiat pertahankan lebih sedikit alkohol di rumah dan atur batas berapa banyak yang akan anda minum setiap minggu menghindari minum pada beberapa hari hanya dalam konteks yang aman membuat keputusan berdasarkan informasi tentang di mana anda minum membantu meminimalkan bahaya terkait alkohol kiat jika pergi ke bar tetap bersama grup dan pilih perusahaan yang menyala dan dekat opsi transportasi yang aman untuk informasi tentang opsi perawatan dan sumber daya di seluruh bc hubungi layanan rujukan informasi alkohol dan obat di         di greater vancouver hubungi       untuk lebih memahami bagaimana zat berperan dalam hidup anda kunjungi buku kerja anda dan penggunaan narkoba di situs web heretohelp institut penelitian penggunaan zat kanada sebelumnya carbc adalah anggota mitra bc untuk informasi kesehatan mental dan kecanduan institut ini didedikasikan untuk mempelajari penggunaan narkoba dalam mendukung upaya masyarakat yang bertujuan untuk memberikan semua orang akses ke kehidupan yang lebih sehat baik menggunakan zat atau tidak untuk lebih lanjut kunjungi www cisur ca 
"Jika ganja berbahaya, mengapa kita melegalkannya?",asap ganja misalnya mengandung racun penyebab kanker namun risiko mengembangkan beberapa kanker mis mulut lidah dan paru paru lebih sedikit untuk perokok ganja daripada perokok tembakau sebagian karena mereka cenderung merokok kurang dari pengguna tembakau dan sementara semua obat memiliki efek pada otak sifat sifat khusus dari obat mempengaruhi tingkat risiko konsekuensi berbahaya efek negatif ganja pada otak misalnya tampaknya kurang dari efek beberapa zat seperti alkohol legalisasi ganja memberikan kesempatan untuk menerapkan peraturan untuk meminimalkan potensi bahaya bahaya membeli dan menggunakan obat ilegal adalah bahwa kita tidak akan pernah tahu pasti apa yang sebenarnya ada di dalamnya cannabis legal di kanada pada   oktober   orang dewasa lebih dari usia   tahun sekarang diizinkan memiliki hingga   gram ganja di depan umum ganja diatur oleh provinsi british columbia dan akan dijual melalui cabang distribusi minuman keras ganja akan diuji untuk kualitas ketika obat diproduksi dan diperoleh di dalam sistem yang diatur dimungkinkan bagi kita untuk mengetahui tentang isinya dan dosis dari apa yang kita ambil ini membantu kita mengelola risiko namun kemungkinan ganja masih akan tersedia di luar sistem pemerintah penting untuk diketahui bahwa kualitas ganja yang diperoleh dari dealer atau teman tidak diketahui dan mungkin mengandung kontaminan seperti jamur jamur atau pengisi yang mungkin beracun legalisasi ganja juga memberi kami lowongan untuk terlibat dalam diskusi yang jujur dan bijaksana tentang penggunaan narkoba dengan keluarga dan komunitas kami saat berhadapan dengan masalah kompleks seperti kebijakan ganja tidak ada yang memiliki semua jawaban tetapi sebagai anggota masyarakat kita semua memiliki pemikiran perasaan dan pengalaman di sekitar narkoba dan penggunaan narkoba untuk berbagi satu sama lain terlibat bersama untuk mengeksplorasi dan berbagi ide akan membantu kami menemukan cara mengelola penggunaan sebagai individu dan komunitas dengan cara yang memaksimalkan manfaat dan meminimalkan kerusakan institut penelitian penggunaan zat kanada sebelumnya carbc adalah anggota mitra bc untuk informasi kesehatan mental dan kecanduan institut ini didedikasikan untuk mempelajari penggunaan narkoba dalam mendukung upaya masyarakat yang bertujuan untuk memberikan semua orang akses ke kehidupan yang lebih sehat baik menggunakan zat atau tidak untuk lebih lanjut kunjungi www cisur ca 
Bagaimana cara meyakinkan anak saya untuk tidak...,anda tidak bisa tetapi anda dapat mempengaruhi kapasitas mereka untuk membuat pilihan yang baik di dunia di mana alkohol dan obat lain tersedia ini tentang membantu anak anda mengembangkan keterampilan untuk menilai apa yang mungkin membantu dalam mencapai tujuan mereka dalam hidup ini juga tentang menyehatkan hubungan yang mendukung jadi mereka tahu ke mana harus pergi dengan pertanyaan atau masalah membuka diskusi tentang narkoba dapat membantu memperkuat hubungan anda dengan anak anda mengundang dan membiarkan percakapan terbuka dan jujur tentang narkoba atau subjek lainnya membuat anak anda tahu bahwa apa yang mereka pikirkan rasakan dan mengalami masalah bagi anda tujuannya adalah untuk membuat anak anda berbicara dan berbagi pikiran dan perasaan mereka ketika orang orang muda ditanya pertanyaan yang bijaksana dan terbuka mengeksplorasi apa yang mereka pikirkan itu membantu mereka menjadi tertarik pada pikiran dan perilaku mereka sendiri proses refleksi diri ini adalah bagian dari pengembangan keterampilan berpikir kritis bagian dari pengambilan keputusan yang baik keterampilan berpikir kritis sebenarnya merupakan bagian penting dari mengurangi risiko yang terkait dengan penggunaan obat begitu orang orang muda mempertimbangkan sesuatu dengan hati hati mereka jauh lebih kecil kemungkinannya untuk bertindak karena impuls atau sebagai tanggapan terhadap pengaruh tidak ada aturan tentang bagaimana atau di mana percakapan tentang alkohol atau obat lain harus dimulai bahkan anak anak kecil tahu narkoba adalah bagian dari budaya kita mereka melihat orang orang minum di sekitar mereka dan terpapar narkoba di tv dan dalam iklan ini membuatnya menjadi subjek yang dapat dibesarkan secara alami sambil bersiap siap untuk perayaan keluarga di mana alkohol akan hadir atau jika anda berencana untuk mengunjungi kerabat yang menggunakan tembakau atau saat bertukar cerita di meja makan tentang apa yang terjadi di tempat kerja di tempat kerja di tempat kerja di tempat kerja di tempat kerja di tempat kerja di tempat kerja dan sekolah hari itu berbicara dengan remaja dan dewasa muda tentang narkoba saat mereka membuat pilihan di jalan menuju dewasa membantu mereka mengembangkan standar pribadi meminimalkan risiko dan menilai kepercayaan populer secara kritis tentang penggunaan narkoba ini bisa sangat penting karena mereka beralih ke usia hukum untuk menggunakan alkohol atau ganja dan pindah dari rumah keluarga sementara orang dewasa muda memiliki lebih banyak kemandirian dan lebih banyak hak hukum orang tua dapat terus menjadi papan suara yang penting untuk mencoba pemikiran dan ide mereka institut penelitian penggunaan zat kanada sebelumnya carbc adalah anggota mitra bc untuk informasi kesehatan mental dan kecanduan institut ini didedikasikan untuk mempelajari penggunaan narkoba dalam mendukung upaya masyarakat yang bertujuan untuk memberikan semua orang akses ke kehidupan yang lebih sehat baik menggunakan zat atau tidak untuk lebih lanjut kunjungi www cisur ca 
Apa status hukum dan bukti minyak CBD?,cannabidiol atau cbd adalah komponen ganja yang terjadi secara alami itu diekstraksi dari tanaman ganja dan sering dibuat menjadi minyak untuk digunakan cbd tidak psikoaktif dan tidak menghasilkan tinggi thc tetrahyrocannabinol komponen psikoaktif utama ganja cbd legal di kanada dan telah digunakan dalam perawatan berbagai kondisi medis semua cannabinoid termasuk cbd menghasilkan efek dalam tubuh dengan menempel pada reseptor tertentu di otak atau sistem kekebalan tubuh tubuh manusia juga menghasilkan cannabinoid sendiri tampaknya cbd tidak melekat langsung ke reseptor sebaliknya ia mengarahkan tubuh untuk menggunakan lebih banyak cannabinoid sendiri untuk menghasilkan efek terapeutik yang terkait dengan cbd penelitian menunjukkan bahwa cbd dapat memberikan bantuan untuk nyeri kronis sativex adalah obat eksklusif yang menggabungkan thc dan cbd dan dapat diresepkan untuk menghilangkan rasa sakit yang terkait dengan multiple sclerosis ada juga beberapa bukti yang menunjukkan bahwa cbd mungkin merupakan dukungan yang menjanjikan bagi orang dengan gangguan penggunaan opioid para peneliti mencatat bahwa cbd mengurangi beberapa gejala yang terkait dengan gangguan penggunaan zat termasuk kecemasan gejala yang berhubungan dengan suasana hati nyeri dan insomnia setelah meneliti keamanan dan efektivitas minyak cbd untuk mengobati epilepsi pada tahun   fda amerika serikat menyetujui cbd epidiolex sebagai terapi untuk dua kondisi langka yang ditandai dengan kejang epilepsi bukti lain menunjukkan bahwa cbd mungkin berguna dalam pengobatan skizofrenia meskipun diperlukan penelitian lebih lanjut sebelum memasukkan cbd ke dalam praktik medis ada beberapa bukti awal bahwa cbd dapat membantu orang pada tahap awal penyakit alzheimer menjaga kemampuan untuk mengenali wajah orang yang mereka kenal dan dengan demikian lambat perkembangan penyakit sekali lagi diperlukan lebih banyak penelitian di bidang ini karena cara ganja dan produknya dimetabolisme para ilmuwan percaya ada potensi interaksi dengan obat lain meskipun belum ada yang signifikan yang dicatat cbd telah ditemukan secara umum aman laporan dari pasien menunjukkan bahwa interaksi obat negatif tidak umum seperti halnya perawatan lainnya penting untuk memantau penggunaan cbd anda dan mencari bantuan jika anda mengalami masalah atau memiliki pertanyaan atau masalah tentang penggunaannya institut penelitian penggunaan zat kanada sebelumnya carbc adalah anggota mitra bc untuk informasi kesehatan mental dan kecanduan institut ini didedikasikan untuk mempelajari penggunaan narkoba dalam mendukung upaya masyarakat yang bertujuan untuk memberikan semua orang akses ke kehidupan yang lebih sehat baik menggunakan zat atau tidak untuk lebih lanjut kunjungi www cisur ca 
Apa buktinya tentang vaping?,vaping adalah istilah untuk menggunakan perangkat di mana cairan sering dibumbui diubah menjadi uap karenanya vaping dan dihirup perangkat vaping terdiri dari corong tangki atau reservoir untuk menahan cairan elemen pemanas dan baterai untuk memberi daya elemen cairan dipanaskan untuk menjadi kabut dihirup melalui mulut ke paru paru di mana nikotin atau ganja memasuki aliran darah setiap uap residu dihembuskan perangkat vaping datang dalam beberapa jenis bentuk dan ukuran disebut sebagai rokok elektronik pena vape vape mod tangki atau hookah cairan vaping liquid jus terdiri dari pelarut biasanya propilen glikol atau gliserol rasa dan nikotin atau ganja meskipun mungkin tidak mengandung apa pun di british columbia anda harus berusia   tahun untuk membeli produk vaping jumlah anak muda yang merokok telah menurun selama beberapa tahun terakhir sementara vaping telah meningkat rokok dikembangkan sebagai alternatif untuk merokok perangkat pertama tersedia pada tahun   dan tampak seperti rokok tradisional uap nikotin mengandung racun dan partikel lain yang jauh lebih sedikit daripada asap dari rokok vaping adalah alternatif yang kurang berbahaya bagi rokok dan bukti menunjukkan ini dapat membantu beberapa orang berhenti merokok bukti menunjukkan vaping kemungkinan bukan pintu gerbang untuk merokok tembakau meskipun kurang berbahaya daripada merokok vaping masih membawa potensi bahaya ada paparan kecil nikotin dan kemungkinan karsinogen dalam uap karsinogen adalah zat yang berpotensi menyebabkan kanker beberapa bukti menunjukkan bahwa anak muda mungkin tidak menyadari cairan vaping sering mengandung nikotin rokok tidak dikendalikan dan kandungan nikotin cairan vaping bervariasi secara signifikan di antara merek bahan kimia lain perasa dan logam berat hadir dalam cairan vaping belum dipelajari dengan baik risiko kesehatan jangka panjang dari vaping tidak ditentukan diperlukan lebih banyak penelitian di bidang ini strategi pemasaran untuk produk vaping seringkali di media sosial dirancang untuk menarik bagi kaum muda berbagai rasa yang tersedia terutama yang buah buahan dan manis dan tampilan dan nuansa perangkat vaping menarik kaum muda kaum muda dapat melihat vaping sebagai hal yang menyenangkan dan cara untuk bersosialisasi dengan teman teman dan merokok dengan cara yang kurang berbahaya membuat waktu dan ruang untuk diskusi dan mengeksplorasi isu isu seputar vaping adalah salah satu cara penting kita dapat mendukung kaum muda dan memang satu sama lain dalam membuat keputusan yang baik tentang jika kapan atau berapa banyak untuk vape kami menawarkan tidak terlalu banyak tidak terlalu sering dan dalam konteks yang aman sebagai salah satu cara untuk berpikir tentang menggunakan zat apa pun apa artinya ini bagi anda mungkin tempat untuk berbicara untuk memulai institut penelitian penggunaan zat kanada sebelumnya carbc adalah anggota mitra bc untuk informasi kesehatan mental dan kecanduan institut ini didedikasikan untuk mempelajari penggunaan narkoba dalam mendukung upaya masyarakat yang bertujuan untuk memberikan semua orang akses ke kehidupan yang lebih sehat baik menggunakan zat atau tidak untuk lebih lanjut kunjungi www cisur ca 
